date,category,amount,payment_method,description
2024-11-03,Rent,544.5,Bank Transfer,Hundred might worry.
2024-11-03,Transport,30.22,Bank Transfer,Western school fast student.
2024-11-03,Shopping,181.91,Card,Society enjoy.
2024-11-03,Shopping,45.6,Mobile Payment,Difference include although detail.
2024-11-03,Utilities,158.83,Cash,Feel off recently.
2024-11-03,Shopping,111.14,Cash,Race note not realize.
2024-11-03,Shopping,102.63,Bank Transfer,Mrs season.
2024-11-04,Health,96.95,Mobile Payment,Central authority pull.
2024-11-04,Other,99.76,Mobile Payment,East begin.
2024-11-04,Shopping,150.89,Mobile Payment,Box such.
2024-11-05,Shopping,199.4,Mobile Payment,Together game be total.
2024-11-05,Food,12.78,Mobile Payment,Room data.
2024-11-05,Rent,509.48,Card,Citizen run research on.
2024-11-05,Entertainment,72.42,Cash,Six very only hand those.
2024-11-05,Rent,1104.5,Mobile Payment,Tend support appear.
2024-11-05,Rent,1160.65,Bank Transfer,Thank military beautiful television field.
2024-11-05,Utilities,56.84,Cash,Push color despite choice.
2024-11-05,Rent,990.52,Card,Best trip.
2024-11-06,Other,33.89,Bank Transfer,Exist finally.
2024-11-06,Other,19.85,Bank Transfer,His perhaps.
2024-11-06,Utilities,79.91,Bank Transfer,Stock term involve.
2024-11-06,Health,87.94,Card,After relate.
2024-11-06,Other,42.01,Cash,Subject growth attack.
2024-11-07,Rent,909.19,Bank Transfer,Anyone help.
2024-11-07,Transport,7.33,Cash,Plan service name attorney.
2024-11-07,Utilities,182.35,Cash,Interest thank.
2024-11-07,Shopping,187.35,Bank Transfer,Find left process through hot.
2024-11-08,Entertainment,27.12,Mobile Payment,Win cut significant.
2024-11-08,Transport,42.59,Cash,Fund nature.
2024-11-08,Transport,42.57,Bank Transfer,Leader loss.
2024-11-08,Other,81.13,Card,Try claim.
2024-11-08,Food,13.28,Bank Transfer,East design room.
2024-11-08,Rent,731.89,Bank Transfer,While concern evening gas.
2024-11-09,Food,12.23,Mobile Payment,Notice great citizen board.
2024-11-09,Shopping,182.41,Cash,Dinner agent.
2024-11-09,Utilities,96.19,Card,Couple prevent face.
2024-11-10,Other,17.69,Bank Transfer,In special test beyond.
2024-11-10,Shopping,148.16,Cash,Ever artist thus.
2024-11-10,Utilities,150.18,Card,Page seat.
2024-11-10,Rent,720.47,Card,Apply toward should our.
2024-11-11,Rent,951.83,Bank Transfer,Believe lose data sit.
2024-11-11,Rent,1138.08,Bank Transfer,Good military customer wide give.
2024-11-11,Rent,769.14,Mobile Payment,Hair marriage right out.
2024-11-11,Shopping,88.57,Bank Transfer,Heavy discuss end how.
2024-11-11,Rent,730.78,Card,Edge all modern message.
2024-11-11,Transport,30.19,Bank Transfer,Only stop.
2024-11-12,Utilities,169.47,Cash,Available challenge general indicate.
2024-11-12,Shopping,103.98,Bank Transfer,Window crime boy system.
2024-11-12,Food,12.34,Card,Official ahead deal look Mr.
2024-11-12,Health,24.53,Mobile Payment,Give brother important.
2024-11-12,Rent,613.34,Card,Mission window miss or administration.
2024-11-13,Shopping,166.29,Bank Transfer,Teach form yourself new.
2024-11-13,Food,18.19,Card,Book perform season learn myself.
2024-11-13,Utilities,197.06,Card,Claim single positive authority marriage.
2024-11-13,Rent,467.01,Cash,After show.
2024-11-14,Entertainment,44.37,Cash,Physical season decide career.
2024-11-14,Utilities,170.69,Card,Question cause man professor.
2024-11-15,Rent,458.16,Cash,Plant sound.
2024-11-15,Shopping,138.71,Cash,Learn discuss across course after.
2024-11-15,Transport,12.63,Card,War issue other light agent.
